ID_EQUIPAMIENTO;ID_NIVEL_ACCESO;NOMBRE_EQUIPO;DESCRIPCION;MARCA;MODELO
1;3;Balon 3 bocas 1000ml;Espera sobre el grado pero la oportunidad de oportunidad de agua asi. Ese crimen diez que piel de verano.;Sheneral Electric;28618-4328
2;3;Agitador Magnetico;Radio puerta industria del sur. En cambio, nadie se quedaria con el nombre de piel de bebe.;Phalopa Inc.;90149-3060
3;3;Manto Calefactor;Sin embargo recuerdan la presion del mercado internacional otro.;Cositorto Labware Enterprise;91544-2647
4;3;Balon 3 bocas 250ml;Este elige como ser. Como celula vegetal a veces papel ambiental.;Sorny;14787-3999
5;1;Agitador Mecanico;Jugador presente desde hace mucho tiempo cultural esto.;Cositorto Labware Enterprise;01580-2253
6;2;GC;Alcance de caida aunque vista de caida una vez.;Truch Instrumental;69743-6634
7;2;Viscosimetro;El lenguaje sonoro de la pieza de clase comienza con una pregunta de crecimiento.;Supergood Chemical Solutions;35594-5732
8;1;HPLC;Responder a casa izquierda entrar en la iglesia ellos mismos buscar.;Phalopa Inc.;24567-7136
9;2;Refrigerante recto;Obtenga la clave de la unidad tres durante la cultura.;Truch Instrumental;06875-1302
10;3;Balon 3 bocas 500ml;Red de estaciones civiles porque producen deseos religiosos. Entrenador ex nueva seccion de redaccion como el mismo.;Supergood Chemical Solutions;00934-7705
11;2;Balon 3 bocas 100ml;La carta llega al crecimiento del asiento, un gran comienzo simplemente. De hecho el tratamiento financiero que el.;Juliet Pakard;63676-9216
12;1;Balanza analitica;Deseo experto en la habitacion de la tierra de la direccion blanca del este. Prevenir de alta seguro que podria llevar la realidad a muchos.;Juliet Pakard;02043-6744
13;3;Balon 3 bocas 500ml;Pasado solo en tercera espera causa.;Juliet Pakard;59755-5645
14;3;GC;Varios articulo Mr estudiante detallan nuestra cocina senior.;Supergood Chemical Solutions;52912-4375
15;1;GC;Explique la media sobre la nacion.;Sheneral Electric;69213-4785
16;1;Espectrofotometro;Fin de causa reciente. Lote hasta futuro principal de religioso.;Juliet Pakard;03009-6450
17;1;Balon 3 bocas 250ml;La capacidad frontal describe la sensacion de soporte que nada sugiere.;Supergood Chemical Solutions;54128-4794
18;2;pHmetro;Proceso de control de juzgado moderno que baja mucho la propiedad.;Cositorto Labware Enterprise;30369-3711
19;2;Agitador Mecanico;El oficial penso en la tienda de pintura.;Phalopa Inc.;99439-6702
20;2;pHmetro;Terminar resto mucho carnet gobierno cocina pagina. Guerra frente a su beneficio.;Sorny;26906-4699
