ID_EQUIPAMIENTO,ID_NIVEL_ACCESO,NOMBRE_EQUIPO,DESCRIPCION,MARCA,MODELO
1,1,Espectrofotómetro,Éxito internacional reducir control movimiento respuesta comercial quién.,Garófalo S.A.,08473-4050
2,1,Balón 3 bocas 250ml,"Ejecute la posición de nivel de reflejo. A lo largo de la información de la universidad, la pintura superior gana una sonrisa.",Sorny,74812-6630
3,1,GC,Ver piso por qué llamar.,Sheneral Electric,38025-3466
4,3,HPLC,Mañana indicar ver.,Cositorto Labware Enterprise,69024-5264
5,3,HPLC,Campo mí tres desde entonces pero varios. Crear la naturaleza quiere rendimiento futuro aceite particular de la ciudad.,Garófalo S.A.,50429-5719
6,1,Balón 3 bocas 1000ml,Else over return mission by seek.,Juliet Pakard,23815-2666
7,3,Balón 3 bocas 100ml,Ciencia de la educación sobre el rendimiento del cabello con impacto militar. Comprar el deporte público de la sociedad cerca de los cabellos.,Truch Instrumental,24830-1620
8,2,Balón 3 bocas 500ml,Imagen atencion ellos temprano hora abierto.,Supergood Chemical Solutions,63212-4867
9,1,Viscosímetro,Porque terreno universitario al este.,Sheneral Electric,04784-4128
10,1,HPLC,A pesar de hablar semana.,Cositorto Labware Enterprise,26146-3023
11,2,Balón 3 bocas 250ml,Detalle nunca imagen profesional otro.,Sorny,54678-6116
12,1,Densímetro,Utilice qué licencia completa.,Supergood Chemical Solutions,50784-2851
13,3,Refrigerante recto,De más bien o. Todos ellos mismos esperan una lista física de rock.,Garófalo S.A.,00611-6985
14,1,Balón 3 bocas 500ml,Estación base positiva central. Presidente de la década central pase la mente.,Sheneral Electric,20989-2214
15,2,GC,"Gestionar el proyecto alguien representa la investigación. Mantenga la fiesta del sur, traiga, explique la gestión de la carretera.",Juliet Pakard,85941-1475
16,3,Densímetro,Yo mejor servicio electoral republicano mal personal.,Sorny,44952-2436
17,3,pHmetro,O terreno socio senior. Ver fuente de servicio.,Phalopa Inc.,02082-2955
18,1,Viscosímetro,Tal vez nunca los engrases como un artículo de peso.,Sheneral Electric,82114-3051
19,3,Viscosímetro,Población radiofónica nacen varias radios de nuevo amenaza. Todo el aumento joven federal.,Garófalo S.A.,05280-6968
20,3,Viscosímetro,Solo el equipo debe describir la estrella del bebé de la pared. Caja conocer precio último terreno stock ejecutivo.,Phalopa Inc.,50332-6874
